,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"filtered_prob[357, 1]",0.448,0.197,0.118,0.815,0.007,0.003,877.0,1508.0,1.0
"filtered_prob[357, 2]",0.247,0.181,0.0,0.559,0.006,0.002,880.0,1719.0,1.0
"filtered_prob[358, 0]",0.185,0.128,0.001,0.417,0.004,0.003,1385.0,1564.0,1.0
"filtered_prob[358, 1]",0.528,0.203,0.161,0.884,0.007,0.002,877.0,1395.0,1.0
"filtered_prob[358, 2]",0.288,0.194,0.0,0.61,0.007,0.002,805.0,1625.0,1.0
"filtered_prob[359, 0]",0.976,0.036,0.919,1.0,0.001,0.002,1783.0,1230.0,1.0
"filtered_prob[359, 1]",0.022,0.036,0.0,0.079,0.001,0.002,1601.0,1671.0,1.0
"filtered_prob[359, 2]",0.001,0.004,0.0,0.005,0.0,0.0,1039.0,1647.0,1.0
"filtered_prob[360, 0]",0.914,0.073,0.783,0.999,0.002,0.002,1730.0,1994.0,1.0
"filtered_prob[360, 1]",0.072,0.067,0.0,0.193,0.001,0.002,1773.0,1964.0,1.0
"filtered_prob[360, 2]",0.014,0.024,0.0,0.051,0.001,0.001,1297.0,1750.0,1.0
"filtered_prob[361, 0]",0.994,0.014,0.978,1.0,0.0,0.001,1830.0,1493.0,1.0
"filtered_prob[361, 1]",0.006,0.014,0.0,0.021,0.0,0.001,1880.0,1225.0,1.0
"filtered_prob[361, 2]",0.0,0.001,0.0,0.002,0.0,0.0,1329.0,1891.0,1.0
"filtered_prob[362, 0]",0.933,0.061,0.826,1.0,0.001,0.002,1742.0,2007.0,1.0
"filtered_prob[362, 1]",0.056,0.056,0.0,0.156,0.001,0.002,1769.0,1929.0,1.0
"filtered_prob[362, 2]",0.011,0.02,0.0,0.041,0.0,0.001,1298.0,1704.0,1.0
"filtered_prob[363, 0]",0.989,0.018,0.964,1.0,0.0,0.001,1862.0,1255.0,1.0
"filtered_prob[363, 1]",0.01,0.017,0.0,0.035,0.0,0.001,1961.0,1506.0,1.0
"filtered_prob[363, 2]",0.001,0.002,0.0,0.004,0.0,0.0,1367.0,1856.0,1.0
"filtered_prob[364, 0]",0.185,0.128,0.007,0.427,0.004,0.004,1235.0,1486.0,1.0
"filtered_prob[364, 1]",0.315,0.247,0.016,0.817,0.014,0.009,452.0,740.0,1.0
"filtered_prob[364, 2]",0.499,0.239,0.002,0.802,0.012,0.008,495.0,570.0,1.0
"filtered_prob[365, 0]",0.83,0.118,0.619,0.998,0.003,0.003,1865.0,2019.0,1.0
"filtered_prob[365, 1]",0.145,0.109,0.004,0.338,0.003,0.003,1904.0,2219.0,1.0
"filtered_prob[365, 2]",0.025,0.037,0.0,0.091,0.001,0.002,1311.0,1767.0,1.0
"filtered_prob[366, 0]",0.24,0.164,0.004,0.554,0.005,0.004,1296.0,1613.0,1.0
"filtered_prob[366, 1]",0.43,0.231,0.084,0.853,0.01,0.004,620.0,1563.0,1.0
"filtered_prob[366, 2]",0.33,0.221,0.0,0.679,0.009,0.002,620.0,1525.0,1.0
"filtered_prob[367, 0]",0.494,0.194,0.143,0.846,0.005,0.003,1637.0,1983.0,1.0
"filtered_prob[367, 1]",0.406,0.186,0.079,0.738,0.005,0.003,1540.0,1713.0,1.0
"filtered_prob[367, 2]",0.1,0.105,0.0,0.302,0.003,0.002,1139.0,1523.0,1.0
"filtered_prob[368, 0]",0.92,0.082,0.767,1.0,0.002,0.002,1714.0,2145.0,1.0
"filtered_prob[368, 1]",0.074,0.08,0.0,0.226,0.002,0.002,1642.0,2158.0,1.0
"filtered_prob[368, 2]",0.006,0.011,0.0,0.023,0.0,0.001,1286.0,1677.0,1.0
"filtered_prob[369, 0]",0.991,0.018,0.966,1.0,0.0,0.001,1803.0,1512.0,1.0
"filtered_prob[369, 1]",0.009,0.018,0.0,0.033,0.0,0.001,1851.0,1484.0,1.0
"filtered_prob[369, 2]",0.001,0.002,0.0,0.002,0.0,0.0,1365.0,1867.0,1.0
"filtered_prob[370, 0]",0.087,0.096,0.0,0.271,0.003,0.004,1258.0,1715.0,1.0
"filtered_prob[370, 1]",0.258,0.266,0.0,0.849,0.018,0.013,323.0,480.0,1.0
"filtered_prob[370, 2]",0.655,0.268,0.054,0.958,0.016,0.013,411.0,435.0,1.0
"filtered_prob[371, 0]",0.357,0.179,0.053,0.683,0.005,0.002,1523.0,2034.0,1.0
"filtered_prob[371, 1]",0.417,0.19,0.115,0.786,0.006,0.003,968.0,1347.0,1.0
"filtered_prob[371, 2]",0.226,0.172,0.0,0.532,0.005,0.002,980.0,1652.0,1.0
"filtered_prob[372, 0]",0.687,0.172,0.365,0.964,0.004,0.002,1862.0,2048.0,1.0
"filtered_prob[372, 1]",0.267,0.162,0.014,0.561,0.004,0.002,1861.0,1704.0,1.0
"filtered_prob[372, 2]",0.046,0.061,0.0,0.16,0.001,0.002,1233.0,1626.0,1.0
"filtered_prob[373, 0]",0.786,0.159,0.486,0.998,0.004,0.003,1813.0,2057.0,1.0
"filtered_prob[373, 1]",0.187,0.149,0.002,0.473,0.003,0.003,1907.0,2208.0,1.0
"filtered_prob[373, 2]",0.027,0.04,0.0,0.098,0.001,0.002,1244.0,1706.0,1.0
"filtered_prob[374, 0]",0.117,0.095,0.0,0.29,0.002,0.002,1800.0,1917.0,1.0
"filtered_prob[374, 1]",0.786,0.133,0.531,0.976,0.005,0.004,811.0,1351.0,1.0
"filtered_prob[374, 2]",0.097,0.108,0.0,0.301,0.005,0.005,623.0,1062.0,1.0
"filtered_prob[375, 0]",0.048,0.065,0.0,0.163,0.002,0.003,1343.0,1842.0,1.0
"filtered_prob[375, 1]",0.445,0.248,0.0,0.825,0.007,0.003,1221.0,1320.0,1.0
"filtered_prob[375, 2]",0.507,0.244,0.119,0.968,0.007,0.003,1331.0,1820.0,1.0
"filtered_prob[376, 0]",0.046,0.052,0.0,0.138,0.001,0.002,1183.0,1527.0,1.0
"filtered_prob[376, 1]",0.341,0.235,0.0,0.744,0.007,0.003,1029.0,1280.0,1.0
"filtered_prob[376, 2]",0.613,0.227,0.204,0.976,0.006,0.003,1211.0,1961.0,1.0
"filtered_prob[377, 0]",0.971,0.053,0.888,1.0,0.001,0.003,1573.0,1379.0,1.0
"filtered_prob[377, 1]",0.025,0.051,0.0,0.101,0.001,0.003,1636.0,1882.0,1.0
"filtered_prob[377, 2]",0.003,0.016,0.0,0.011,0.001,0.002,607.0,473.0,1.0
"filtered_prob[378, 0]",0.541,0.211,0.15,0.898,0.007,0.003,1051.0,1390.0,1.0
"filtered_prob[378, 1]",0.317,0.198,0.025,0.698,0.008,0.004,733.0,1454.0,1.0
"filtered_prob[378, 2]",0.142,0.144,0.0,0.417,0.004,0.003,1278.0,1442.0,1.0
"filtered_prob[379, 0]",0.219,0.201,0.0,0.615,0.005,0.004,1545.0,2244.0,1.0
"filtered_prob[379, 1]",0.425,0.227,0.068,0.855,0.009,0.004,650.0,1332.0,1.0
"filtered_prob[379, 2]",0.356,0.242,0.0,0.741,0.008,0.003,1067.0,1762.0,1.0
"filtered_prob[380, 0]",0.985,0.028,0.947,1.0,0.001,0.002,1801.0,1398.0,1.0
"filtered_prob[380, 1]",0.014,0.028,0.0,0.051,0.001,0.002,1723.0,1693.0,1.0
"filtered_prob[380, 2]",0.001,0.003,0.0,0.003,0.0,0.0,952.0,1181.0,1.0
"filtered_prob[381, 0]",0.771,0.157,0.475,0.986,0.005,0.004,1090.0,1663.0,1.0
"filtered_prob[381, 1]",0.178,0.142,0.002,0.436,0.005,0.004,976.0,1328.0,1.0
"filtered_prob[381, 2]",0.051,0.074,0.0,0.179,0.002,0.004,1463.0,1614.0,1.0
"filtered_prob[382, 0]",0.991,0.018,0.966,1.0,0.0,0.001,1774.0,1330.0,1.0
"filtered_prob[382, 1]",0.009,0.018,0.0,0.033,0.0,0.001,1852.0,1663.0,1.0
"filtered_prob[382, 2]",0.001,0.002,0.0,0.003,0.0,0.0,1282.0,1744.0,1.0
"filtered_prob[383, 0]",0.086,0.095,0.0,0.273,0.003,0.004,1234.0,1729.0,1.0
"filtered_prob[383, 1]",0.256,0.267,0.0,0.846,0.017,0.013,344.0,573.0,1.0
"filtered_prob[383, 2]",0.658,0.268,0.064,0.963,0.016,0.013,429.0,465.0,1.0
"filtered_prob[384, 0]",0.912,0.083,0.762,1.0,0.002,0.003,1764.0,1848.0,1.0
"filtered_prob[384, 1]",0.076,0.078,0.0,0.213,0.002,0.003,1964.0,2090.0,1.0
"filtered_prob[384, 2]",0.012,0.023,0.0,0.043,0.001,0.002,1271.0,1752.0,1.0
"filtered_prob[385, 0]",0.915,0.079,0.773,1.0,0.002,0.003,1453.0,1928.0,1.0
"filtered_prob[385, 1]",0.073,0.074,0.0,0.204,0.002,0.003,1654.0,2057.0,1.0
"filtered_prob[385, 2]",0.011,0.023,0.0,0.042,0.001,0.002,1544.0,1566.0,1.0
"filtered_prob[386, 0]",0.929,0.07,0.803,1.0,0.002,0.002,1487.0,2013.0,1.0
"filtered_prob[386, 1]",0.062,0.066,0.0,0.179,0.002,0.002,1685.0,1927.0,1.0
"filtered_prob[386, 2]",0.009,0.019,0.0,0.033,0.0,0.002,1551.0,1531.0,1.0
"filtered_prob[387, 0]",0.103,0.095,0.0,0.28,0.003,0.003,1227.0,1725.0,1.0
"filtered_prob[387, 1]",0.306,0.266,0.001,0.855,0.016,0.011,397.0,657.0,1.0
"filtered_prob[387, 2]",0.591,0.261,0.037,0.903,0.015,0.01,490.0,639.0,1.0
"filtered_prob[388, 0]",0.23,0.162,0.002,0.527,0.004,0.004,1588.0,1576.0,1.0
"filtered_prob[388, 1]",0.71,0.176,0.37,0.971,0.006,0.005,991.0,1248.0,1.01
"filtered_prob[388, 2]",0.06,0.091,0.0,0.23,0.005,0.006,499.0,406.0,1.0
"filtered_prob[389, 0]",0.106,0.089,0.0,0.264,0.002,0.002,1396.0,1722.0,1.0
"filtered_prob[389, 1]",0.648,0.14,0.379,0.897,0.003,0.002,1714.0,1405.0,1.0
"filtered_prob[389, 2]",0.246,0.144,0.0,0.488,0.004,0.002,1502.0,1364.0,1.0
"filtered_prob[390, 0]",0.409,0.185,0.072,0.755,0.005,0.003,1364.0,1316.0,1.0
"filtered_prob[390, 1]",0.511,0.179,0.165,0.827,0.005,0.003,1224.0,1309.0,1.01
"filtered_prob[390, 2]",0.08,0.089,0.0,0.248,0.003,0.003,1188.0,1417.0,1.0
"filtered_prob[391, 0]",0.161,0.122,0.001,0.387,0.003,0.003,1367.0,1618.0,1.0
"filtered_prob[391, 1]",0.597,0.169,0.302,0.915,0.005,0.002,1351.0,1613.0,1.0
"filtered_prob[391, 2]",0.241,0.154,0.0,0.503,0.004,0.002,1293.0,1369.0,1.0
"filtered_prob[392, 0]",0.976,0.04,0.911,1.0,0.001,0.003,1622.0,1642.0,1.0
"filtered_prob[392, 1]",0.023,0.04,0.0,0.088,0.001,0.003,1436.0,1836.0,1.0
"filtered_prob[392, 2]",0.001,0.004,0.0,0.005,0.0,0.0,880.0,857.0,1.0
"filtered_prob[393, 0]",0.808,0.141,0.541,0.995,0.005,0.004,934.0,1306.0,1.0
"filtered_prob[393, 1]",0.153,0.127,0.002,0.394,0.004,0.004,945.0,1473.0,1.0
"filtered_prob[393, 2]",0.039,0.057,0.0,0.14,0.002,0.003,1393.0,1476.0,1.0
"filtered_prob[394, 0]",0.765,0.169,0.452,0.995,0.005,0.004,1070.0,1815.0,1.0
"filtered_prob[394, 1]",0.193,0.154,0.002,0.486,0.005,0.004,1108.0,1590.0,1.0
"filtered_prob[394, 2]",0.041,0.059,0.0,0.148,0.002,0.003,1382.0,1519.0,1.0
"filtered_prob[395, 0]",0.685,0.201,0.314,0.982,0.006,0.003,1124.0,1812.0,1.0
"filtered_prob[395, 1]",0.258,0.183,0.005,0.604,0.005,0.004,1131.0,1798.0,1.0
"filtered_prob[395, 2]",0.058,0.074,0.0,0.197,0.002,0.003,1364.0,1495.0,1.0
"filtered_prob[396, 0]",0.088,0.085,0.0,0.245,0.002,0.003,1217.0,1754.0,1.0
"filtered_prob[396, 1]",0.354,0.251,0.003,0.836,0.015,0.007,372.0,863.0,1.01
"filtered_prob[396, 2]",0.558,0.244,0.053,0.893,0.013,0.008,467.0,849.0,1.0
"filtered_prob[397, 0]",0.538,0.192,0.166,0.875,0.005,0.003,1300.0,1696.0,1.0
"filtered_prob[397, 1]",0.369,0.18,0.06,0.71,0.005,0.003,1352.0,1613.0,1.0
"filtered_prob[397, 2]",0.094,0.094,0.0,0.272,0.002,0.003,1434.0,1537.0,1.0
"filtered_prob[398, 0]",0.117,0.099,0.0,0.296,0.003,0.003,1254.0,1676.0,1.0
"filtered_prob[398, 1]",0.461,0.219,0.12,0.876,0.01,0.004,569.0,1430.0,1.0
"filtered_prob[398, 2]",0.422,0.21,0.0,0.717,0.009,0.004,671.0,1200.0,1.0
"filtered_prob[399, 0]",0.06,0.055,0.0,0.16,0.002,0.002,1185.0,1691.0,1.0
"filtered_prob[399, 1]",0.374,0.221,0.0,0.785,0.011,0.005,479.0,1187.0,1.0
"filtered_prob[399, 2]",0.566,0.218,0.094,0.891,0.01,0.006,543.0,959.0,1.0
"filtered_prob[400, 0]",0.39,0.181,0.044,0.692,0.005,0.003,1107.0,1561.0,1.0
"filtered_prob[400, 1]",0.46,0.178,0.13,0.79,0.005,0.003,1249.0,1508.0,1.0
"filtered_prob[400, 2]",0.15,0.128,0.0,0.386,0.003,0.003,1467.0,1492.0,1.0
"filtered_prob[401, 0]",0.064,0.078,0.0,0.199,0.002,0.003,1226.0,1671.0,1.0
"filtered_prob[401, 1]",0.358,0.235,0.0,0.77,0.01,0.004,511.0,1079.0,1.0
"filtered_prob[401, 2]",0.578,0.23,0.16,0.967,0.009,0.004,639.0,1319.0,1.0
"filtered_prob[402, 0]",0.446,0.198,0.068,0.781,0.006,0.003,1174.0,1600.0,1.0
"filtered_prob[402, 1]",0.428,0.188,0.087,0.78,0.005,0.003,1499.0,1608.0,1.0
"filtered_prob[402, 2]",0.126,0.12,0.0,0.351,0.003,0.003,1304.0,1550.0,1.0
"filtered_prob[403, 0]",0.941,0.068,0.815,1.0,0.002,0.002,1687.0,2018.0,1.0
"filtered_prob[403, 1]",0.054,0.067,0.0,0.179,0.002,0.002,1590.0,2020.0,1.0
"filtered_prob[403, 2]",0.004,0.012,0.0,0.017,0.0,0.001,851.0,791.0,1.0
"filtered_prob[404, 0]",0.083,0.085,0.0,0.243,0.002,0.003,1244.0,1768.0,1.0
"filtered_prob[404, 1]",0.283,0.261,0.0,0.845,0.017,0.012,334.0,665.0,1.0
"filtered_prob[404, 2]",0.634,0.261,0.05,0.941,0.016,0.011,424.0,773.0,1.0
"filtered_prob[405, 0]",0.331,0.104,0.137,0.519,0.003,0.002,1212.0,1752.0,1.0
"filtered_prob[405, 1]",0.309,0.155,0.076,0.614,0.008,0.004,534.0,950.0,1.0
"filtered_prob[405, 2]",0.36,0.13,0.075,0.57,0.006,0.004,670.0,786.0,1.0
"filtered_prob[406, 0]",0.169,0.114,0.002,0.372,0.003,0.002,1187.0,1599.0,1.0
"filtered_prob[406, 1]",0.462,0.197,0.13,0.825,0.008,0.003,706.0,1503.0,1.0
"filtered_prob[406, 2]",0.369,0.188,0.0,0.648,0.006,0.003,892.0,1544.0,1.0
"filtered_prob[407, 0]",0.053,0.055,0.0,0.152,0.002,0.002,1208.0,1794.0,1.0
"filtered_prob[407, 1]",0.335,0.214,0.0,0.727,0.011,0.005,416.0,909.0,1.0
"filtered_prob[407, 2]",0.612,0.211,0.214,0.974,0.01,0.005,471.0,813.0,1.0
"filtered_prob[408, 0]",0.434,0.191,0.093,0.783,0.006,0.003,1034.0,1625.0,1.0
"filtered_prob[408, 1]",0.424,0.177,0.117,0.764,0.005,0.003,1340.0,1561.0,1.0
"filtered_prob[408, 2]",0.141,0.128,0.0,0.379,0.003,0.003,1400.0,1551.0,1.0
"filtered_prob[409, 0]",0.059,0.061,0.0,0.17,0.002,0.002,1228.0,1781.0,1.0
"filtered_prob[409, 1]",0.36,0.221,0.0,0.755,0.011,0.004,443.0,1008.0,1.0
"filtered_prob[409, 2]",0.582,0.216,0.143,0.926,0.01,0.005,528.0,902.0,1.0
"filtered_prob[410, 0]",0.125,0.094,0.0,0.292,0.003,0.002,1104.0,1633.0,1.0
"filtered_prob[410, 1]",0.451,0.195,0.105,0.815,0.007,0.003,832.0,1685.0,1.0
"filtered_prob[410, 2]",0.423,0.188,0.051,0.747,0.006,0.003,1082.0,1336.0,1.0
"filtered_prob[411, 0]",0.101,0.076,0.0,0.236,0.002,0.002,1188.0,1750.0,1.0
"filtered_prob[411, 1]",0.473,0.202,0.133,0.866,0.007,0.003,925.0,1644.0,1.0
"filtered_prob[411, 2]",0.426,0.198,0.0,0.716,0.006,0.003,1096.0,1396.0,1.0
"filtered_prob[412, 0]",0.083,0.065,0.0,0.196,0.002,0.002,1198.0,1754.0,1.0
"filtered_prob[412, 1]",0.456,0.21,0.099,0.86,0.007,0.003,908.0,1741.0,1.0
"filtered_prob[412, 2]",0.462,0.207,0.032,0.789,0.007,0.003,1032.0,1333.0,1.0
"filtered_prob[413, 0]",0.105,0.076,0.001,0.24,0.002,0.002,1263.0,1725.0,1.0
"filtered_prob[413, 1]",0.486,0.208,0.112,0.86,0.006,0.003,1116.0,1714.0,1.0
"filtered_prob[413, 2]",0.41,0.204,0.0,0.718,0.006,0.003,1323.0,1533.0,1.0
"filtered_prob[414, 0]",0.082,0.063,0.001,0.193,0.002,0.002,1222.0,1768.0,1.0
"filtered_prob[414, 1]",0.433,0.196,0.076,0.783,0.006,0.003,937.0,1827.0,1.0
"filtered_prob[414, 2]",0.486,0.188,0.108,0.804,0.006,0.003,1089.0,1418.0,1.0
"filtered_prob[415, 0]",0.342,0.155,0.045,0.61,0.004,0.002,1304.0,1711.0,1.0
"filtered_prob[415, 1]",0.501,0.175,0.169,0.821,0.005,0.003,1421.0,1635.0,1.0
"filtered_prob[415, 2]",0.157,0.132,0.0,0.394,0.004,0.003,1388.0,1567.0,1.0
"filtered_prob[416, 0]",0.063,0.059,0.0,0.168,0.002,0.002,1250.0,1754.0,1.0
"filtered_prob[416, 1]",0.424,0.212,0.096,0.853,0.009,0.003,647.0,1575.0,1.0
"filtered_prob[416, 2]",0.513,0.208,0.081,0.836,0.008,0.004,713.0,1098.0,1.0
"filtered_prob[417, 0]",0.989,0.027,0.958,1.0,0.001,0.003,1724.0,1163.0,1.0
"filtered_prob[417, 1]",0.011,0.027,0.0,0.04,0.001,0.003,1605.0,1941.0,1.0
"filtered_prob[417, 2]",0.001,0.004,0.0,0.003,0.0,0.001,758.0,771.0,1.0
"filtered_prob[418, 0]",0.109,0.129,0.0,0.362,0.004,0.004,1230.0,1614.0,1.0
"filtered_prob[418, 1]",0.261,0.26,0.0,0.809,0.016,0.011,338.0,753.0,1.0
"filtered_prob[418, 2]",0.63,0.265,0.088,0.979,0.014,0.009,452.0,658.0,1.0
"filtered_prob[419, 0]",0.059,0.063,0.0,0.173,0.002,0.002,1168.0,1463.0,1.0
"filtered_prob[419, 1]",0.264,0.218,0.0,0.711,0.013,0.009,361.0,606.0,1.0
"filtered_prob[419, 2]",0.677,0.216,0.192,0.962,0.012,0.009,433.0,674.0,1.0
"filtered_prob[420, 0]",0.375,0.175,0.056,0.685,0.005,0.003,1257.0,1780.0,1.0
"filtered_prob[420, 1]",0.426,0.18,0.112,0.757,0.005,0.003,1263.0,1677.0,1.0
"filtered_prob[420, 2]",0.199,0.142,0.0,0.445,0.003,0.002,1580.0,1622.0,1.0
"filtered_prob[421, 0]",0.463,0.187,0.118,0.8,0.005,0.003,1372.0,1812.0,1.0
"filtered_prob[421, 1]",0.436,0.186,0.084,0.765,0.005,0.003,1437.0,1509.0,1.0
"filtered_prob[421, 2]",0.1,0.099,0.0,0.288,0.003,0.003,1355.0,1477.0,1.0
"filtered_prob[422, 0]",0.12,0.096,0.0,0.297,0.003,0.002,1279.0,1876.0,1.0
"filtered_prob[422, 1]",0.508,0.201,0.181,0.902,0.008,0.003,702.0,1565.0,1.0
"filtered_prob[422, 2]",0.373,0.19,0.0,0.654,0.007,0.003,775.0,1206.0,1.0
"filtered_prob[423, 0]",0.112,0.085,0.0,0.263,0.002,0.002,1239.0,1783.0,1.0
"filtered_prob[423, 1]",0.517,0.198,0.16,0.874,0.007,0.003,861.0,1602.0,1.0
"filtered_prob[423, 2]",0.371,0.19,0.0,0.658,0.006,0.003,920.0,1359.0,1.0
"filtered_prob[424, 0]",0.749,0.145,0.496,0.987,0.004,0.003,1481.0,1882.0,1.0
"filtered_prob[424, 1]",0.224,0.141,0.005,0.474,0.004,0.003,1258.0,1656.0,1.0
"filtered_prob[424, 2]",0.027,0.042,0.0,0.099,0.001,0.003,1175.0,1483.0,1.0
"filtered_prob[425, 0]",0.198,0.135,0.003,0.442,0.004,0.003,1285.0,1677.0,1.0
"filtered_prob[425, 1]",0.475,0.211,0.128,0.863,0.009,0.003,658.0,1348.0,1.0
"filtered_prob[425, 2]",0.327,0.193,0.0,0.627,0.007,0.002,761.0,1392.0,1.0
"filtered_prob[426, 0]",0.944,0.061,0.838,1.0,0.001,0.002,1662.0,1778.0,1.0
"filtered_prob[426, 1]",0.052,0.06,0.0,0.158,0.001,0.003,1550.0,1799.0,1.0
"filtered_prob[426, 2]",0.004,0.008,0.0,0.015,0.0,0.001,1123.0,1601.0,1.0
"filtered_prob[427, 0]",0.994,0.016,0.977,1.0,0.0,0.002,1764.0,1340.0,1.0
"filtered_prob[427, 1]",0.006,0.016,0.0,0.023,0.0,0.002,1830.0,1492.0,1.0
"filtered_prob[427, 2]",0.0,0.001,0.0,0.002,0.0,0.0,1385.0,1836.0,1.0
"filtered_prob[428, 0]",0.106,0.098,0.0,0.291,0.003,0.003,1230.0,1668.0,1.0
"filtered_prob[428, 1]",0.291,0.273,0.0,0.864,0.017,0.011,424.0,706.0,1.0
"filtered_prob[428, 2]",0.602,0.271,0.007,0.896,0.015,0.011,509.0,664.0,1.0
"filtered_prob[429, 0]",0.069,0.061,0.0,0.182,0.002,0.002,1175.0,1584.0,1.0
"filtered_prob[429, 1]",0.303,0.231,0.0,0.787,0.014,0.01,417.0,810.0,1.0
"filtered_prob[429, 2]",0.628,0.229,0.098,0.911,0.013,0.01,492.0,720.0,1.0
"filtered_prob[430, 0]",0.113,0.083,0.0,0.262,0.002,0.002,1230.0,1813.0,1.0
"filtered_prob[430, 1]",0.392,0.211,0.088,0.827,0.009,0.005,623.0,1347.0,1.0
"filtered_prob[430, 2]",0.495,0.208,0.084,0.836,0.008,0.005,758.0,1381.0,1.0
"filtered_prob[431, 0]",0.061,0.065,0.0,0.177,0.002,0.002,1206.0,1807.0,1.0
"filtered_prob[431, 1]",0.304,0.205,0.0,0.677,0.01,0.005,452.0,867.0,1.0
"filtered_prob[431, 2]",0.636,0.201,0.256,0.973,0.01,0.005,522.0,1120.0,1.0
"filtered_prob[432, 0]",0.104,0.078,0.0,0.244,0.002,0.002,1122.0,1397.0,1.0
"filtered_prob[432, 1]",0.392,0.196,0.054,0.761,0.007,0.004,744.0,1678.0,1.0
"filtered_prob[432, 2]",0.504,0.191,0.142,0.856,0.006,0.004,966.0,1493.0,1.0
"filtered_prob[433, 0]",0.982,0.034,0.941,1.0,0.001,0.004,1726.0,1498.0,1.0
"filtered_prob[433, 1]",0.016,0.034,0.0,0.057,0.001,0.004,1640.0,1522.0,1.0
"filtered_prob[433, 2]",0.001,0.005,0.0,0.006,0.0,0.001,723.0,713.0,1.0
"filtered_prob[434, 0]",0.18,0.132,0.001,0.422,0.004,0.003,1155.0,1720.0,1.0
"filtered_prob[434, 1]",0.356,0.261,0.013,0.849,0.013,0.007,512.0,1286.0,1.0
"filtered_prob[434, 2]",0.464,0.251,0.0,0.794,0.011,0.005,605.0,998.0,1.0
"filtered_prob[435, 0]",0.964,0.043,0.897,1.0,0.001,0.003,1699.0,1694.0,1.0
"filtered_prob[435, 1]",0.033,0.043,0.0,0.1,0.001,0.003,1680.0,1640.0,1.0
"filtered_prob[435, 2]",0.003,0.006,0.0,0.012,0.0,0.0,1263.0,1577.0,1.0
"filtered_prob[436, 0]",0.151,0.179,0.0,0.508,0.005,0.005,1170.0,1596.0,1.0
"filtered_prob[436, 1]",0.284,0.268,0.0,0.818,0.014,0.007,395.0,1094.0,1.0
"filtered_prob[436, 2]",0.565,0.276,0.07,0.983,0.012,0.005,637.0,1072.0,1.0
"filtered_prob[437, 0]",0.488,0.197,0.121,0.829,0.005,0.003,1397.0,1928.0,1.0
"filtered_prob[437, 1]",0.381,0.192,0.048,0.729,0.005,0.003,1472.0,1637.0,1.0
"filtered_prob[437, 2]",0.132,0.117,0.0,0.352,0.003,0.003,1520.0,1554.0,1.0
"filtered_prob[438, 0]",0.064,0.071,0.0,0.196,0.002,0.003,1234.0,1739.0,1.0
"filtered_prob[438, 1]",0.343,0.235,0.0,0.783,0.013,0.006,388.0,855.0,1.0
"filtered_prob[438, 2]",0.594,0.229,0.131,0.945,0.012,0.006,447.0,827.0,1.0
"filtered_prob[439, 0]",0.111,0.086,0.0,0.273,0.002,0.002,1207.0,1623.0,1.0
"filtered_prob[439, 1]",0.422,0.204,0.09,0.816,0.008,0.004,645.0,1361.0,1.0
"filtered_prob[439, 2]",0.466,0.196,0.071,0.788,0.007,0.004,793.0,1278.0,1.0
"filtered_prob[440, 0]",0.053,0.059,0.0,0.158,0.002,0.002,1201.0,1910.0,1.0
"filtered_prob[440, 1]",0.316,0.217,0.0,0.694,0.01,0.004,495.0,1326.0,1.0
"filtered_prob[440, 2]",0.631,0.212,0.243,0.977,0.009,0.004,588.0,1475.0,1.0
"filtered_prob[441, 0]",0.971,0.046,0.905,1.0,0.001,0.003,1743.0,1506.0,1.0
"filtered_prob[441, 1]",0.026,0.045,0.0,0.091,0.001,0.003,1731.0,1655.0,1.0
"filtered_prob[441, 2]",0.003,0.009,0.0,0.012,0.0,0.001,673.0,538.0,1.0
"filtered_prob[442, 0]",0.099,0.093,0.0,0.276,0.003,0.003,1250.0,1719.0,1.0
"filtered_prob[442, 1]",0.292,0.267,0.0,0.852,0.017,0.011,376.0,681.0,1.0
"filtered_prob[442, 2]",0.608,0.267,0.039,0.924,0.015,0.011,488.0,873.0,1.0
"filtered_prob[443, 0]",0.99,0.024,0.967,1.0,0.001,0.003,1780.0,1569.0,1.0
"filtered_prob[443, 1]",0.009,0.024,0.0,0.033,0.001,0.003,1775.0,1656.0,1.0
"filtered_prob[443, 2]",0.001,0.002,0.0,0.003,0.0,0.0,993.0,1391.0,1.0
"filtered_prob[444, 0]",0.137,0.114,0.0,0.347,0.003,0.003,1255.0,1548.0,1.0
"filtered_prob[444, 1]",0.321,0.27,0.003,0.861,0.015,0.009,467.0,901.0,1.0
"filtered_prob[444, 2]",0.542,0.268,0.001,0.857,0.013,0.008,541.0,827.0,1.0
"filtered_prob[445, 0]",0.11,0.087,0.0,0.268,0.002,0.002,1218.0,1609.0,1.0
"filtered_prob[445, 1]",0.387,0.232,0.075,0.865,0.011,0.006,548.0,1282.0,1.0
"filtered_prob[445, 2]",0.503,0.229,0.042,0.828,0.01,0.006,612.0,1154.0,1.0
"filtered_prob[446, 0]",0.585,0.175,0.256,0.885,0.005,0.003,1490.0,2006.0,1.0
"filtered_prob[446, 1]",0.338,0.168,0.048,0.65,0.004,0.003,1442.0,1754.0,1.0
"filtered_prob[446, 2]",0.076,0.082,0.0,0.233,0.002,0.003,1454.0,1566.0,1.0
"filtered_prob[447, 0]",0.234,0.147,0.006,0.497,0.004,0.003,1392.0,1798.0,1.0
